2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:05 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 0
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:06 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:07 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
2025-04-03 16:50:08 - [INFO] Anzahl der erkannten Gesichter: 1
